id,employees,latitude,longitude,city,address,state
1,98,32.7714,-97.2915,Arlington,14 Moland Center,TX
2,100,31.3902,-97.7993,Gatesville,49010 Melby Avenue,TX
3,15,41.6727,-93.5722,Des Moines,10 Rigney Junction,IA
4,32,40.2805,-74.712,Trenton,99490 Hallows Pass,NJ
5,68,26.9668,-81.9545,Punta Gorda,75068 Oak Way,FL
6,28,37.3983,-122.0006,Sunnyvale,69 Lukken Park,CA
7,71,25.5584,-80.4582,Miami,186 Butternut Way,FL
8,16,34.0447,-118.4487,Los Angeles,58 Hoepker Pass,CA
9,75,30.6341,-88.0846,Mobile,372 4th Crossing,AL
10,72,38.8933,-77.0146,Washington,853 Lien Crossing,DC
